男,東京都,6760,274,262,251,284,429,457,498,524,581,582,500,401,348,418,332,274,198,146
男,神奈川県,4569,183,193,198,219,268,254,282,313,380,400,341,275,247,312,252,210,142,100
男,新潟県,1098,41,46,49,55,47,50,59,67,79,77,70,72,80,97,67,57,44,39
男,富山県,511,19,21,23,26,22,24,27,31,40,39,32,31,33,44,35,27,20,17
男,石川県,556,23,25,26,30,31,28,30,34,44,41,35,34,35,45,35,27,19,16
男,福井県,378,16,17,19,20,17,18,20,23,27,27,24,24,25,32,22,18,15,13
男,山梨県,403,15,17,19,22,20,19,21,23,28,30,28,27,28,33,25,21,15,14
男,長野県,1012,40,45,49,53,40,45,51,60,75,75,66,63,67,83,64,54,41,41
男,岐阜県,973,39,45,48,53,45,45,52,59,73,73,62,59,61,80,61,51,37,29
男,静岡県,1810,72,81,85,92,75,89,103,113,138,139,120,114,118,148,112,94,66,53
男,愛知県,3764,166,176,176,197,215,222,242,257,307,308,253,215,202,256,207,172,114,79
男,三重県,877,35,39,42,46,41,43,49,54,67,67,58,54,55,69,54,45,33,27
男,滋賀県,697,32,35,36,39,39,38,42,46,55,53,44,41,41,52,38,31,22,17
男,京都府,1242,49,53,56,63,82,67,69,76,94,95,79,71,70,97,77,64,45,34
男,大阪府,4241,172,184,191,217,240,228,247,267,335,353,290,243,233,317,260,224,146,94
男,兵庫県,2624,110,120,125,139,128,125,143,160,202,206,174,158,161,209,164,135,94,71
男,奈良県,635,25,28,31,35,32,29,31,36,45,47,41,38,40,54,43,37,25,19
男,和歌山県,444,17,19,21,24,18,19,22,24,31,32,28,29,30,39,30,25,19,16
男,鳥取県,270,12,12,13,14,12,12,15,17,19,18,16,18,20,24,16,13,11,10
男,島根県,330,14,15,15,17,13,14,17,19,23,21,19,22,24,31,21,17,15,14
男,岡山県,916,39,42,44,49,48,46,51,55,68,65,54,54,57,74,58,46,35,30
男,広島県,1372,59,64,65,71,70,71,79,86,106,103,84,81,84,108,86,66,48,40
